filename,width,height,class,xmin,ymin,xmax,ymax
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,car,932,456,1063,557
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,car,1152,433,1183,458
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,car,899,473,949,520
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,car,1180,462,1230,490
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,car,743,444,880,570
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,car,1476,448,1569,520
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,traffic light,648,360,675,426
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,traffic light,666,354,707,425
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,traffic light,395,339,434,423
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,traffic light,1050,366,1075,427
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,traffic light,1082,346,1122,417
