filename,class,xmin,ymin,xmax,ymax,confidence
Frame_1440.png,car,876,543,991,637,0.9320229291915894
Frame_1440.png,car,1062,540,1190,637,0.925851583480835
Frame_1440.png,car,1358,506,1431,550,0.8858456015586853
Frame_1440.png,car,1022,531,1092,594,0.8793179392814636
Frame_1440.png,car,1311,492,1356,524,0.8585397601127625
Frame_1440.png,traffic light,809,441,830,485,0.7915188670158386
Frame_1440.png,traffic light,1218,444,1237,487,0.7514564394950867
Frame_1440.png,traffic light,549,439,564,480,0.6944755911827087
Frame_1440.png,traffic light,642,446,658,485,0.6830012798309326
Frame_1440.png,traffic light,1162,454,1178,489,0.6277192831039429
Frame_1440.png,car,1617,491,1731,559,0.6134025454521179
