filename,class,xmin,ymin,xmax,ymax,confidence
Frame_360.png,car,1292,451,1654,722,0.9426265358924866
Frame_360.png,car,158,458,486,745,0.9394518733024597
Frame_360.png,truck,1111,290,1397,630,0.9053745865821838
Frame_360.png,car,624,473,766,579,0.8999292850494385
Frame_360.png,car,1033,465,1138,577,0.8744242191314697
Frame_360.png,car,700,465,792,559,0.8563752174377441
Frame_360.png,car,779,473,835,529,0.8216134905815125
Frame_360.png,car,838,473,876,509,0.8011944890022278
Frame_360.png,truck,953,446,1011,512,0.7665145397186279
Frame_360.png,car,901,476,921,494,0.6876899003982544
Frame_360.png,car,826,476,846,523,0.6837989687919617
Frame_360.png,car,928,479,943,498,0.6676215529441833
Frame_360.png,car,942,479,960,504,0.35567864775657654
Frame_360.png,car,887,477,901,491,0.3115585148334503
