filename,class,xmin,ymin,xmax,ymax,confidence
Frame_540.png,car,538,474,728,611,0.9301403164863586
Frame_540.png,car,1072,465,1245,616,0.9261239767074585
Frame_540.png,truck,1214,176,1684,746,0.8871999979019165
Frame_540.png,car,655,465,768,582,0.883724570274353
Frame_540.png,truck,960,448,1021,521,0.8515613079071045
Frame_540.png,car,833,477,875,518,0.8076716065406799
Frame_540.png,car,760,476,824,542,0.8055369257926941
Frame_540.png,car,900,479,921,500,0.6990368366241455
Frame_540.png,car,929,484,945,505,0.6327354311943054
Frame_540.png,car,816,481,840,528,0.5456926226615906
Frame_540.png,car,0,449,143,796,0.5368089079856873
