filename,width,height,class,xmin,ymin,xmax,ymax
frame_540_png.rf.dfbe278f40afc450cdb6e5a651b49053.jpg,1820,940,car,181,424,369,513
frame_540_png.rf.dfbe278f40afc450cdb6e5a651b49053.jpg,1820,940,car,990,465,1019,489
frame_540_png.rf.dfbe278f40afc450cdb6e5a651b49053.jpg,1820,940,car,1466,453,1533,517
frame_540_png.rf.dfbe278f40afc450cdb6e5a651b49053.jpg,1820,940,car,843,457,913,512
frame_540_png.rf.dfbe278f40afc450cdb6e5a651b49053.jpg,1820,940,Truck,1221,405,1302,509
frame_540_png.rf.dfbe278f40afc450cdb6e5a651b49053.jpg,1820,940,Person,1046,457,1063,497
frame_540_png.rf.dfbe278f40afc450cdb6e5a651b49053.jpg,1820,940,signal,907,427,917,451
frame_540_png.rf.dfbe278f40afc450cdb6e5a651b49053.jpg,1820,940,signal,918,430,928,452
frame_540_png.rf.dfbe278f40afc450cdb6e5a651b49053.jpg,1820,940,signal,1088,430,1099,452
frame_540_png.rf.dfbe278f40afc450cdb6e5a651b49053.jpg,1820,940,car,1442,466,1480,511
frame_540_png.rf.dfbe278f40afc450cdb6e5a651b49053.jpg,1820,940,car,1524,385,1602,547
frame_540_png.rf.dfbe278f40afc450cdb6e5a651b49053.jpg,1820,940,signal,1111,434,1120,460
frame_500_png.rf.06d08e148f473b38220233c6a528f9ec.jpg,1820,940,car,970,460,1013,493
frame_500_png.rf.06d08e148f473b38220233c6a528f9ec.jpg,1820,940,car,923,462,955,488
frame_500_png.rf.06d08e148f473b38220233c6a528f9ec.jpg,1820,940,car,1089,456,1166,498
frame_500_png.rf.06d08e148f473b38220233c6a528f9ec.jpg,1820,940,Person,563,405,652,615
frame_500_png.rf.06d08e148f473b38220233c6a528f9ec.jpg,1820,940,car,946,451,979,483
frame_500_png.rf.06d08e148f473b38220233c6a528f9ec.jpg,1820,940,Person,1129,449,1152,505
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,car,932,456,1063,557
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,car,1152,433,1183,458
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,car,899,473,949,520
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,car,1180,462,1230,490
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,car,743,444,880,570
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,car,1476,448,1569,520
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,signal,648,360,675,426
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,signal,666,354,707,425
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,signal,395,339,434,423
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,signal,1050,366,1075,427
frame_1044_png.rf.a80a247c1a164ac14e9920945931778c.jpg,1820,940,signal,1082,346,1122,417
frame_864_png.rf.4659989774cf7c224538ced7232d394c.jpg,1820,940,car,479,412,923,622
Frame_864_png.rf.bc140dec9d03d41033457aa36f9fbb87.jpg,1820,940,car,623,511,1043,705
Frame_500_png.rf.518df0be048d8c1aea58fc1fa115ff93.jpg,1820,940,car,919,473,968,508
Frame_500_png.rf.518df0be048d8c1aea58fc1fa115ff93.jpg,1820,940,car,816,473,850,502
Frame_500_png.rf.518df0be048d8c1aea58fc1fa115ff93.jpg,1820,940,car,1073,474,1159,514
Frame_500_png.rf.518df0be048d8c1aea58fc1fa115ff93.jpg,1820,940,Person,391,424,453,642
Frame_500_png.rf.518df0be048d8c1aea58fc1fa115ff93.jpg,1820,940,Person,1110,449,1133,526
Frame_500_png.rf.518df0be048d8c1aea58fc1fa115ff93.jpg,1820,940,car,839,458,871,491
