filename,width,height,class,xmin,ymin,xmax,ymax
frame_13_png.rf.734f0de2f23fd04115c8193148f20891.jpg,1824,940,people,756,442,814,558
frame_13_png.rf.734f0de2f23fd04115c8193148f20891.jpg,1824,940,people,541,422,599,557
frame_13_png.rf.734f0de2f23fd04115c8193148f20891.jpg,1824,940,people,674,442,702,524
frame_13_png.rf.734f0de2f23fd04115c8193148f20891.jpg,1824,940,people,636,436,665,524
frame_13_png.rf.734f0de2f23fd04115c8193148f20891.jpg,1824,940,people,713,448,740,521
frame_13_png.rf.734f0de2f23fd04115c8193148f20891.jpg,1824,940,traffic light,707,350,733,416
frame_13_png.rf.734f0de2f23fd04115c8193148f20891.jpg,1824,940,traffic light,1279,325,1307,400
frame_13_png.rf.734f0de2f23fd04115c8193148f20891.jpg,1824,940,traffic light,649,330,679,405
frame_13_png.rf.734f0de2f23fd04115c8193148f20891.jpg,1824,940,traffic light,680,353,704,407
frame_13_png.rf.734f0de2f23fd04115c8193148f20891.jpg,1824,940,traffic light,1244,344,1267,407
frame_13_png.rf.734f0de2f23fd04115c8193148f20891.jpg,1824,940,car,1658,460,1759,552
frame_13_png.rf.734f0de2f23fd04115c8193148f20891.jpg,1824,940,car,0,351,346,827
frame_13_png.rf.734f0de2f23fd04115c8193148f20891.jpg,1824,940,car,1460,465,1515,517
frame_13_png.rf.734f0de2f23fd04115c8193148f20891.jpg,1824,940,car,1374,446,1413,494
