filename,width,height,class,xmin,ymin,xmax,ymax
17_png.rf.dae764e488d114f5bae5c813e475b05a.jpg,1824,940,people,742,452,781,551
17_png.rf.dae764e488d114f5bae5c813e475b05a.jpg,1824,940,people,603,453,626,524
17_png.rf.dae764e488d114f5bae5c813e475b05a.jpg,1824,940,people,538,454,563,506
17_png.rf.dae764e488d114f5bae5c813e475b05a.jpg,1824,940,car,674,478,734,517
17_png.rf.dae764e488d114f5bae5c813e475b05a.jpg,1824,940,car,372,449,561,602
17_png.rf.dae764e488d114f5bae5c813e475b05a.jpg,1824,940,car,1277,481,1340,534
17_png.rf.dae764e488d114f5bae5c813e475b05a.jpg,1824,940,car,1248,479,1290,525
17_png.rf.dae764e488d114f5bae5c813e475b05a.jpg,1824,940,car,1723,535,1823,674
17_png.rf.dae764e488d114f5bae5c813e475b05a.jpg,1824,940,traffic light,572,398,600,443
17_png.rf.dae764e488d114f5bae5c813e475b05a.jpg,1824,940,traffic light,1005,389,1046,435
