filename,class,xmin,ymin,xmax,ymax,confidence
20.png,truck,1620,443,1724,559,0.9261180758476257
20.png,car,1684,492,1769,587,0.9026092290878296
20.png,person,364,429,434,655,0.8863305449485779
20.png,person,139,413,193,644,0.8803994655609131
20.png,person,262,436,303,587,0.8720316886901855
20.png,traffic light,1477,259,1527,377,0.8615727424621582
20.png,car,1570,477,1608,512,0.8456961512565613
20.png,person,333,435,368,590,0.8441909551620483
20.png,traffic light,310,291,351,399,0.8384150266647339
20.png,traffic light,1393,283,1437,385,0.8074015378952026
20.png,person,467,439,510,581,0.8065056204795837
20.png,person,426,447,457,569,0.7872287631034851
20.png,traffic light,385,317,422,409,0.7847261428833008
20.png,truck,1510,453,1563,535,0.7622843384742737
20.png,car,453,473,540,515,0.6371092796325684
