filename,class,xmin,ymin,xmax,ymax,confidence
19.png,car,1583,492,1692,589,0.932152271270752
19.png,car,1479,486,1555,552,0.8993881940841675
19.png,person,633,445,687,592,0.897513210773468
19.png,truck,1451,451,1521,532,0.8957707285881042
19.png,person,395,434,440,583,0.87510746717453
19.png,traffic light,527,360,555,426,0.8502523899078369
19.png,person,497,446,528,553,0.8485286831855774
19.png,person,451,446,481,551,0.8268952965736389
19.png,person,589,450,622,547,0.820427656173706
19.png,traffic light,1196,354,1225,418,0.7909981608390808
19.png,traffic light,556,372,581,430,0.7903262972831726
19.png,person,544,448,566,553,0.7835873961448669
19.png,car,11,430,392,767,0.775286078453064
19.png,traffic light,1233,346,1264,416,0.759636402130127
19.png,car,628,474,693,521,0.4908693730831146
19.png,car,1432,481,1455,519,0.2675968110561371
