filename,class,xmin,ymin,xmax,ymax,confidence
18.png,car,310,442,575,646,0.8811023235321045
18.png,car,1416,484,1486,545,0.8759584426879883
18.png,person,662,452,688,532,0.8733077049255371
18.png,person,743,451,788,564,0.8177347779273987
18.png,car,730,479,792,520,0.7851207256317139
18.png,person,516,442,544,506,0.7658591270446777
18.png,person,563,455,583,528,0.765853226184845
18.png,car,1377,481,1424,530,0.7460423111915588
18.png,person,579,452,603,544,0.7362415194511414
18.png,traffic light,1153,377,1177,429,0.6450818181037903
18.png,person,611,453,628,529,0.6295395493507385
18.png,traffic light,617,386,639,436,0.6164012551307678
18.png,person,596,452,612,531,0.5984391570091248
18.png,traffic light,1130,381,1152,429,0.5637829899787903
18.png,traffic light,638,394,654,439,0.5325497388839722
18.png,person,612,453,638,529,0.4963137209415436
18.png,truck,1377,455,1421,492,0.4229715168476105
