filename,width,height,class,xmin,ymin,xmax,ymax,confidence
19.png,1824,940,car,1583,492,1692,589,0.9321523904800415
19.png,1824,940,car,1479,486,1555,552,0.8993882536888123
19.png,1824,940,person,633,445,687,592,0.8975130915641785
19.png,1824,940,truck,1451,451,1521,532,0.8957704305648804
19.png,1824,940,person,395,434,440,583,0.8751074075698853
19.png,1824,940,traffic light,527,360,555,426,0.8502527475357056
19.png,1824,940,person,497,446,528,553,0.8485286831855774
19.png,1824,940,person,451,446,481,551,0.8268955945968628
19.png,1824,940,person,589,450,622,547,0.820427656173706
19.png,1824,940,traffic light,1196,354,1225,418,0.7909985184669495
19.png,1824,940,traffic light,556,372,581,430,0.7903263568878174
19.png,1824,940,person,544,448,566,553,0.7835876941680908
19.png,1824,940,car,11,430,392,767,0.7752863764762878
19.png,1824,940,traffic light,1233,346,1264,416,0.7596362829208374
19.png,1824,940,car,628,474,693,521,0.49086815118789673
19.png,1824,940,car,1432,481,1455,519,0.26759669184684753
