filename,width,height,class,xmin,ymin,xmax,ymax,confidence
17.png,1824,940,car,372,450,562,603,0.9243330359458923
17.png,1824,940,car,1276,482,1340,534,0.8700640797615051
17.png,1824,940,car,673,479,734,517,0.865736186504364
17.png,1824,940,person,742,453,780,551,0.8599848747253418
17.png,1824,940,person,605,455,625,524,0.8465768694877625
17.png,1824,940,person,558,457,578,522,0.737989068031311
17.png,1824,940,car,1248,479,1288,522,0.7187502980232239
17.png,1824,940,person,539,457,559,504,0.6962642073631287
17.png,1824,940,traffic light,572,399,589,441,0.6253260374069214
17.png,1824,940,traffic light,586,405,599,444,0.5545457601547241
17.png,1824,940,traffic light,1024,390,1045,435,0.4245784878730774
17.png,1824,940,person,522,457,535,484,0.38552770018577576
17.png,1824,940,traffic light,1005,393,1029,435,0.35020625591278076
17.png,1824,940,car,1722,536,1823,747,0.2657910883426666
