filename,width,height,class,xmin,ymin,xmax,ymax,confidence
20.png,1824,940,truck,1620,443,1724,559,0.9261180758476257
20.png,1824,940,car,1684,492,1769,587,0.9026089906692505
20.png,1824,940,person,364,429,434,655,0.8863305449485779
20.png,1824,940,person,139,413,193,644,0.8803995251655579
20.png,1824,940,person,262,436,303,587,0.872031569480896
20.png,1824,940,traffic light,1477,259,1527,377,0.8615727424621582
20.png,1824,940,car,1570,477,1608,512,0.845696210861206
20.png,1824,940,person,333,435,368,590,0.8441908359527588
20.png,1824,940,traffic light,310,291,351,399,0.8384146690368652
20.png,1824,940,traffic light,1393,283,1437,385,0.8074005842208862
20.png,1824,940,person,467,439,510,581,0.8065057396888733
20.png,1824,940,person,426,447,457,569,0.787228524684906
20.png,1824,940,traffic light,385,317,422,409,0.7847252488136292
20.png,1824,940,truck,1510,453,1563,535,0.7622839212417603
20.png,1824,940,car,453,473,540,515,0.6371090412139893
