filename,class,xmin,ymin,xmax,ymax,confidence
frame_15.png,traffic light,216,155,284,296,0.8996104001998901
frame_15.png,person,451,422,500,572,0.883402943611145
frame_15.png,person,340,400,413,657,0.879840075969696
frame_15.png,traffic light,398,197,461,349,0.8757301568984985
frame_15.png,traffic light,151,90,239,297,0.8275655508041382
frame_15.png,traffic light,1575,205,1626,348,0.7819772958755493
frame_15.png,person,504,439,540,573,0.7261754870414734
frame_15.png,backpack,359,435,411,519,0.7234188914299011
frame_15.png,truck,1700,446,1777,528,0.643718957901001
frame_15.png,person,617,436,647,496,0.6100218296051025
frame_15.png,person,30,364,100,691,0.5671877264976501
frame_15.png,truck,1488,445,1542,493,0.5417076349258423
frame_15.png,person,534,421,594,500,0.468576580286026
frame_15.png,traffic light,1720,182,1764,313,0.3684411346912384
frame_15.png,person,535,423,594,581,0.3639916181564331
frame_15.png,traffic light,1745,133,1810,317,0.3438277542591095
frame_15.png,truck,1015,452,1097,481,0.31626203656196594
frame_15.png,car,1374,465,1420,492,0.29131588339805603
