filename,class,xmin,ymin,xmax,ymax,confidence
frame_7.png,truck,1237,398,1322,509,0.878456175327301
frame_7.png,truck,1625,378,1709,564,0.8595603704452515
frame_7.png,car,999,464,1027,486,0.8049104809761047
frame_7.png,car,88,417,284,515,0.6907635927200317
frame_7.png,truck,1491,453,1617,518,0.5796351432800293
frame_7.png,person,1048,460,1065,495,0.5454432964324951
frame_7.png,traffic light,1104,423,1111,445,0.5006521940231323
frame_7.png,traffic light,913,424,922,445,0.26106691360473633
frame_7.png,car,936,454,960,471,0.25951114296913147
frame_7.png,traffic light,923,425,933,445,0.2574045956134796
frame_7.png,car,839,471,903,510,0.25227218866348267
