filename,class,xmin,ymin,xmax,ymax,confidence
frame_8.png,truck,1285,366,1388,526,0.8698738813400269
frame_8.png,car,1005,468,1039,493,0.8037492036819458
frame_8.png,car,1593,463,1639,516,0.7318342924118042
frame_8.png,truck,1621,444,1717,521,0.608809769153595
frame_8.png,traffic light,914,421,923,447,0.569939136505127
frame_8.png,car,1053,470,1088,490,0.5100032091140747
frame_8.png,traffic light,1131,418,1142,445,0.5039902925491333
frame_8.png,truck,0,447,66,548,0.4981759786605835
frame_8.png,traffic light,926,424,937,447,0.37050551176071167
frame_8.png,person,1770,458,1789,497,0.3425964415073395
frame_8.png,truck,821,460,918,526,0.2725059986114502
frame_8.png,car,822,481,892,525,0.25003042817115784
