filename,class,xmin,ymin,xmax,ymax,confidence
frame_11.png,truck,466,484,728,621,0.7775598764419556
frame_11.png,person,932,453,956,523,0.7532958388328552
frame_11.png,person,862,457,884,512,0.7117296457290649
frame_11.png,traffic light,803,388,821,432,0.7092283964157104
frame_11.png,truck,29,143,426,741,0.6941201090812683
frame_11.png,traffic light,827,396,845,436,0.6578640341758728
frame_11.png,person,832,460,845,504,0.6381519436836243
frame_11.png,car,618,438,791,583,0.6161911487579346
frame_11.png,person,818,453,831,497,0.5736058354377747
frame_11.png,car,1331,466,1375,498,0.4922496974468231
frame_11.png,car,1386,474,1439,517,0.44864359498023987
frame_11.png,traffic light,1169,390,1187,435,0.37806597352027893
frame_11.png,traffic light,1161,390,1187,436,0.37673285603523254
