filename,class,xmin,ymin,xmax,ymax,confidence
frame_13.png,car,1659,463,1758,553,0.8959612846374512
frame_13.png,person,754,445,814,560,0.8801136612892151
frame_13.png,car,0,355,346,830,0.8193992376327515
frame_13.png,traffic light,707,351,733,418,0.7930022478103638
frame_13.png,traffic light,1280,326,1309,403,0.7727785110473633
frame_13.png,person,676,448,700,525,0.7701421976089478
frame_13.png,traffic light,649,331,680,407,0.7629778385162354
frame_13.png,traffic light,1244,345,1268,410,0.7464427947998047
frame_13.png,person,716,453,739,523,0.741511881351471
frame_13.png,traffic light,681,356,702,407,0.6821655631065369
frame_13.png,person,543,425,598,559,0.658724308013916
frame_13.png,person,637,440,663,526,0.46273893117904663
frame_13.png,person,732,448,751,510,0.44236308336257935
frame_13.png,car,1464,467,1514,518,0.40853261947631836
frame_13.png,person,544,425,597,496,0.31059372425079346
frame_13.png,traffic light,1214,415,1229,456,0.28304529190063477
