filename,width,height,class,xmin,ymin,xmax,ymax,confidence
frame_7.png,1824,944,truck,1237,398,1322,509,0.8784558176994324
frame_7.png,1824,944,truck,1625,378,1709,564,0.8595610857009888
frame_7.png,1824,944,car,999,464,1027,486,0.8049108386039734
frame_7.png,1824,944,car,88,417,284,515,0.6907627582550049
frame_7.png,1824,944,truck,1491,453,1617,518,0.5796352028846741
frame_7.png,1824,944,person,1048,460,1065,495,0.545443594455719
frame_7.png,1824,944,traffic light,1104,423,1111,445,0.5006524920463562
frame_7.png,1824,944,traffic light,913,424,922,445,0.26106685400009155
frame_7.png,1824,944,car,936,454,960,471,0.25951120257377625
frame_7.png,1824,944,traffic light,923,425,933,445,0.25740453600883484
frame_7.png,1824,944,car,839,471,903,510,0.25227248668670654
