filename,width,height,class,xmin,ymin,xmax,ymax,confidence
frame_13.png,1824,944,car,1659,463,1758,553,0.8959612250328064
frame_13.png,1824,944,person,754,445,814,560,0.8801136612892151
frame_13.png,1824,944,car,0,355,346,830,0.819398045539856
frame_13.png,1824,944,traffic light,707,351,733,418,0.793002724647522
frame_13.png,1824,944,traffic light,1280,326,1309,403,0.7727789282798767
frame_13.png,1824,944,person,676,448,700,525,0.7701423764228821
frame_13.png,1824,944,traffic light,649,331,680,407,0.762977659702301
frame_13.png,1824,944,traffic light,1244,345,1268,410,0.7464429140090942
frame_13.png,1824,944,person,716,453,739,523,0.741511881351471
frame_13.png,1824,944,traffic light,681,356,702,407,0.6821655631065369
frame_13.png,1824,944,person,543,425,598,559,0.6587234139442444
frame_13.png,1824,944,person,637,440,663,526,0.4627377986907959
frame_13.png,1824,944,person,732,448,751,510,0.44236451387405396
frame_13.png,1824,944,car,1464,467,1514,518,0.40853235125541687
frame_13.png,1824,944,person,544,425,597,496,0.310594767332077
frame_13.png,1824,944,traffic light,1214,415,1229,456,0.28304523229599
