filename,width,height,class,xmin,ymin,xmax,ymax,confidence
frame_9.png,1824,944,truck,1377,294,1562,579,0.9207714200019836
frame_9.png,1824,944,car,991,468,1026,494,0.7493679523468018
frame_9.png,1824,944,person,1031,463,1050,506,0.7339594960212708
frame_9.png,1824,944,car,1711,476,1760,535,0.6943030953407288
frame_9.png,1824,944,traffic light,897,411,909,442,0.6806749105453491
frame_9.png,1824,944,traffic light,1149,412,1160,440,0.6060265302658081
frame_9.png,1824,944,traffic light,911,416,925,444,0.6050081253051758
frame_9.png,1824,944,truck,1744,454,1823,543,0.5705758333206177
frame_9.png,1824,944,car,955,467,993,491,0.5369885563850403
frame_9.png,1824,944,person,939,458,955,505,0.5112470984458923
frame_9.png,1824,944,car,1338,468,1371,496,0.4796806871891022
frame_9.png,1824,944,car,1287,474,1307,495,0.47556591033935547
frame_9.png,1824,944,traffic light,1307,429,1315,454,0.3979988694190979
frame_9.png,1824,944,person,912,463,926,499,0.3383590877056122
frame_9.png,1824,944,car,819,454,902,525,0.274138867855072
