filename,width,height,class,xmin,ymin,xmax,ymax,confidence
frame_11.png,1824,944,truck,466,484,728,621,0.7775601148605347
frame_11.png,1824,944,person,932,453,956,523,0.7532954812049866
frame_11.png,1824,944,person,862,457,884,512,0.7117292284965515
frame_11.png,1824,944,traffic light,803,388,821,432,0.7092292904853821
frame_11.png,1824,944,truck,29,143,426,741,0.6941193342208862
frame_11.png,1824,944,traffic light,827,396,845,436,0.6578648090362549
frame_11.png,1824,944,person,832,460,845,504,0.6381517052650452
frame_11.png,1824,944,car,619,438,792,583,0.6161912679672241
frame_11.png,1824,944,person,818,453,831,497,0.5736063718795776
frame_11.png,1824,944,car,1331,466,1375,498,0.49225082993507385
frame_11.png,1824,944,car,1386,474,1439,517,0.44864538311958313
frame_11.png,1824,944,traffic light,1169,390,1187,435,0.37806645035743713
frame_11.png,1824,944,traffic light,1161,390,1187,436,0.37673306465148926
