filename,width,height,class,xmin,ymin,xmax,ymax,confidence
frame_8.png,1824,944,truck,1285,366,1388,526,0.8698738217353821
frame_8.png,1824,944,car,1005,468,1039,493,0.8037487864494324
frame_8.png,1824,944,car,1593,463,1639,516,0.7318349480628967
frame_8.png,1824,944,truck,1621,444,1717,521,0.6088088750839233
frame_8.png,1824,944,traffic light,914,421,923,447,0.569939374923706
frame_8.png,1824,944,car,1053,470,1088,490,0.5100034475326538
frame_8.png,1824,944,traffic light,1131,418,1142,445,0.5039908289909363
frame_8.png,1824,944,truck,0,447,66,548,0.49817609786987305
frame_8.png,1824,944,traffic light,926,424,937,447,0.3705051839351654
frame_8.png,1824,944,person,1770,458,1789,497,0.3425966501235962
frame_8.png,1824,944,truck,821,460,918,526,0.2725050747394562
frame_8.png,1824,944,car,822,481,892,525,0.25003135204315186
