filename,width,height,class,xmin,ymin,xmax,ymax,confidence
frame_15.png,1824,944,traffic light,216,155,284,296,0.8996105790138245
frame_15.png,1824,944,person,451,422,500,572,0.8834032416343689
frame_15.png,1824,944,person,340,400,413,657,0.8798401355743408
frame_15.png,1824,944,traffic light,398,197,461,349,0.8757306337356567
frame_15.png,1824,944,traffic light,151,90,239,297,0.8275653719902039
frame_15.png,1824,944,traffic light,1575,205,1626,348,0.7819773554801941
frame_15.png,1824,944,person,504,439,540,573,0.7261754870414734
frame_15.png,1824,944,backpack,359,435,411,519,0.723419189453125
frame_15.png,1824,944,truck,1700,446,1777,528,0.6437193155288696
frame_15.png,1824,944,person,617,436,647,496,0.6100218296051025
frame_15.png,1824,944,person,30,364,100,691,0.5671875476837158
frame_15.png,1824,944,truck,1488,445,1542,493,0.5417075753211975
frame_15.png,1824,944,person,534,421,594,500,0.468576580286026
frame_15.png,1824,944,traffic light,1720,182,1764,313,0.36844027042388916
frame_15.png,1824,944,person,535,423,594,581,0.3639908730983734
frame_15.png,1824,944,traffic light,1745,133,1810,317,0.34382811188697815
frame_15.png,1824,944,truck,1015,452,1097,481,0.3162599205970764
frame_15.png,1824,944,car,1374,465,1420,492,0.2913162112236023
