filename,width,height,class,xmin,ymin,xmax,ymax,confidence
frame_10.png,1824,944,car,948,464,987,493,0.7791644930839539
frame_10.png,1824,944,person,988,451,1006,510,0.7782566547393799
frame_10.png,1824,944,traffic light,1151,400,1169,436,0.7474806904792786
frame_10.png,1824,944,traffic light,854,398,869,435,0.6998257040977478
frame_10.png,1824,944,traffic light,871,403,888,439,0.6421324014663696
frame_10.png,1824,944,truck,1450,188,1822,708,0.5627608895301819
frame_10.png,1824,944,car,744,442,857,543,0.5358204245567322
frame_10.png,1824,944,truck,1521,460,1822,706,0.5087318420410156
frame_10.png,1824,944,truck,660,425,806,562,0.39287060499191284
frame_10.png,1824,944,stop sign,1354,269,1404,330,0.3299708068370819
frame_10.png,1824,944,person,904,454,922,506,0.31376615166664124
frame_10.png,1824,944,car,1333,465,1377,504,0.2880799472332001
frame_10.png,1824,944,traffic light,1190,433,1211,462,0.26937228441238403
